89883,285379,115.4,1
89884,111267,105.2,2
89887,171888,176.4,3
89886,179665,226.2,4
89889,246373,450.7,5
89888,207698,313.1,6
89892,170633,354.8,7
89894,181804,470.8,8
89893,346954,369.1,9
95956,109141,424,10
95957,122031,419,11
95958,101409,251,12
52540,286300,286,13
52549,182900,244,14
52542,24800,697,15
52544,86300,753,16
52543,210200,421,17
52548,192200,681,18
52545,173100,556,19
52547,1261000,692,20
52550,184000,220,21
52551,25200,804,22
52546,28600,714,23
95961,110856,376,24
77747,322150,150.4,25
77748,101283,91,26
77755,5540,75.4,27
77750,152343,424.6,28
77753,73886,188.9,29
77752,133628,77.6,30
77751,142876,639.2,31
77754,144354,333.8,32
74718,284181,118.9,33
74721,224346,234.4,34
74724,394433,60.1,35
74725,476221,83.7,36
74726,205488,191.8,37
74723,62481,400.3,38
74719,85653,340,39
74720,119308,721.1,40
24213,153015,66.6,41
74722,95109,544.4,42
89890,121889,354.7,43
24223,225267,206,44
24217,199106,244.1,45
89891,134770,600.2,46
24218,209112,608.6,47
95960,148823,570,48
95954,155194,175,49
24219,217123,1032.5,50
24220,72267,860.2,51
83829,121715,70.6,52
24216,166361,208.3,53
95959,141655,355,54
24222,167129,171,55
83836,187220,367.2,56
24221,132395,191.8,57
24215,99456,306.4,58
6063,31754,546.5,59
6064,50528,911.2,60
6066,40455,853,61
6065,39354,606.5,62
6060,32202,475.4,63
83831,164192,224.9,64
83835,131062,427.3,65
83832,109453,169.1,66
83837,127588,426.5,67
83834,167262,312.6,68
27256,188138,82.6,69
83838,109167,165.2,70
83833,146051,230.8,71
27261,161897,61.1,72
27264,100740,105.9,73
27259,155360,155.1,74
27262,157522,117.8,75
27263,95220,107.6,76
27260,139191,95.6,77
27258,156592,96.9,78
92918,121721,71.1,79
92916,260833,29.2,80
92917,137317,131.9,81
92925,126549,319.8,82
92926,101965,126.3,83
92927,124818,266.9,84
92924,116851,305.8,85
4040,68546,107.1,86
4043,51468,920.7,87
6058,41242,136.9,88
4048,25662,456.5,89
4042,57668,913.1,90
4045,34001,453.6,91
4051,54347,606,92
4052,40470,838,93
4050,23284,251.7,94
6062,29877,645.9,95
4049,40579,358.7,96
4053,31146,691,97
4044,23804,357.4,98
4046,21775,251.2,99
48495,108704,35.8,100
48492,209641,23.3,101
48490,158558,74.5,102
48494,76273,40.2,103
48493,153940,63.4,104
48491,190877,9.5,105
48498,0,305,106
48497,130845,733.2,107
67660,56905,284.1,108
67662,99316,720.7,109
67661,53518,1447.8,110
67663,101150,681.6,111
